Season,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NE Monsoon,4.111475409836065,7.591803278688525,5.419672131147541,4.672131147540983,4.091803278688524,3.763934426229508,7.711475409836066,5.091803278688525,6.6,6.4852459016393444,7.59672131147541,5.868852459016393,3.701639344262295,7.406557377049181,0.0,4.750819672131148,2.1213114754098363,2.8508196721311476,4.045901639344262,9.1672131147541,3.1737704918032787
Non Monsoon,0.4483516483516483,0.23111111111111113,0.0,0.2377777777777778,0.13186813186813187,0.5044444444444445,0.1622222222222222,0.25,0.3956043956043956,0.0,0.05333333333333333,2.9266666666666663,0.0,0.6888888888888889,0.0,0.09222222222222223,0.4065934065934066,0.4533333333333333,0.18333333333333332,0.05777777777777778,0.3263736263736264
Pre Monsoon,2.243478260869565,2.3195652173913044,2.2891304347826087,2.0391304347826087,4.478260869565218,2.619565217391304,4.852173913043478,1.5706521739130435,1.7206521739130436,2.5543478260869565,3.432608695652174,2.358695652173913,1.7869565217391306,1.4326086956521737,0.0,4.643478260869565,1.0608695652173912,2.13695652173913,4.565217391304348,1.2630434782608695,1.4380434782608698
SW Monsoon,11.686885245901639,9.585245901639345,8.5827868852459,5.352459016393443,11.828688524590163,15.615573770491803,13.645901639344261,20.072950819672133,8.955737704918032,12.131147540983607,13.019672131147543,13.680327868852459,9.754918032786884,17.52950819672131,0.0,7.528688524590164,9.754098360655737,11.527868852459017,22.622131147540983,18.68360655737705,15.454918032786885
