NewDate,0.0,0.0064516129032258,0.0096774193548387,0.0266666666666666,0.0285714285714285,0.0741935483870967,0.1354838709677419,0.1466666666666666,0.1548387096774193,0.1677419354838709,0.2068965517241379,0.2419354838709677,0.2451612903225806,0.2533333333333333,0.3096774193548387,0.3870967741935484,0.4709677419354838,0.4733333333333333,0.48,0.4866666666666666,0.5419354838709678,0.5785714285714285,0.5833333333333334,0.6258064516129032,0.6709677419354839,0.7161290322580645,0.7428571428571429,0.7642857142857143,0.832258064516129,0.864516129032258,0.8733333333333333,0.92,0.9580645161290322,0.9866666666666668,1.0,1.0433333333333334,1.1225806451612903,1.1266666666666665,1.1548387096774193,1.1935483870967742,1.2064516129032257,1.2129032258064516,1.2413793103448276,1.2433333333333332,1.3096774193548386,1.3166666666666669,1.32,1.3483870967741935,1.4933333333333332,1.54,1.5599999999999998,1.5666666666666669,1.6033333333333333,1.632258064516129,1.6451612903225807,1.6483870967741936,1.7774193548387098,1.9096774193548387,1.967741935483871,2.064285714285714,2.183333333333333,2.335483870967742,2.3699999999999997,2.4000000000000004,2.4129032258064513,2.46,2.4766666666666666,2.55,2.583870967741935,2.76,2.9833333333333334,3.0064516129032257,3.1133333333333337,3.146666666666667,3.193333333333334,3.303225806451613,3.393548387096774,3.5,3.545161290322581,3.5806451612903225,3.903225806451613,3.9516129032258065,3.993333333333333,4.019354838709678,4.126666666666667,4.141935483870968,4.161290322580645,4.26,4.366666666666666,4.4,4.406451612903226,4.62,4.841935483870968,5.04516129032258,5.067741935483871,5.12,5.193333333333333,5.293548387096774,5.296774193548388,5.464516129032258,5.470967741935484,5.53,5.683870967741935,5.732258064516128,5.996666666666667,6.090322580645162,6.103225806451612,6.2,6.212903225806452,6.34,6.535483870967742,6.583870967741936,6.72,6.73,6.8133333333333335,6.816129032258065,6.8933333333333335,6.916666666666667,7.14,7.292857142857144,7.386666666666667,7.396774193548387,7.625806451612903,7.845161290322581,7.916129032258064,7.993548387096775,8.025806451612903,8.329032258064515,8.393333333333334,8.53,8.619354838709677,8.66451612903226,8.993333333333334,9.235483870967744,9.290322580645162,9.52258064516129,9.651612903225804,9.76,9.774193548387096,9.843333333333334,9.858064516129032,10.825806451612904,11.083870967741936,11.14,11.31,11.458064516129031,11.519354838709678,11.7,11.861290322580643,11.966666666666669,11.986666666666666,12.038709677419355,12.173333333333334,12.36774193548387,12.47741935483871,12.529032258064516,12.663333333333332,12.7,12.858064516129032,13.06451612903226,13.1,13.166666666666666,13.170967741935485,13.238709677419354,13.49032258064516,13.66,13.86451612903226,14.22,14.343333333333334,14.63225806451613,14.696666666666664,15.306666666666668,15.4,15.603333333333332,15.746666666666666,15.793333333333331,15.9,15.943333333333332,15.976666666666668,16.225806451612904,16.425806451612903,18.01935483870968,19.36,19.822580645161292,20.03666666666667,21.376666666666665,22.516129032258064,23.726666666666667,23.90967741935484,25.206666666666667,28.77741935483871,29.838709677419356,29.906451612903226,33.09032258064516,33.78064516129032
01-2000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-2001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-2002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-2003,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-2004,,,,,,,,,,,,,,,,0.3870967741935484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-2005,,,,,,,,,,,,,,,0.3096774193548387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-2006,,,,,,,,,,,,,,,,,0.4709677419354838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-2007,,,0.0096774193548387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-2008,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
