Year,Avg Annual Rainfall,Min,Max,Variance,Standard Deviation,Total
2000,5.246076504758374,0.20689655172413793,16.425806451612903,33.74343735469104,5.808910169273669,62.95291805710049
2001,5.107953149001536,0.24516129032258063,14.343333333333334,23.104014422983905,4.806663543767538,61.29543778801843
2002,4.323987455197133,0.5419354838709678,15.603333333333332,27.593066093733025,5.252910249921754,51.887849462365594
2003,3.1227496159754224,0.6258064516129032,8.619354838709677,9.933092596804117,3.151680916083371,37.47299539170507
2004,5.763790322580644,0.3870967741935484,15.793333333333333,33.38697735129653,5.778146532522045,69.16548387096773
2005,6.593145161290323,0.24516129032258063,29.838709677419356,73.67238099648935,8.583261675871787,79.11774193548388
2006,7.077849462365592,0.47096774193548385,14.219999999999999,33.700035955812034,5.805173206357588,84.9341935483871
2007,7.972706093189963,0.00967741935483871,28.77741935483871,96.97374913092072,9.847525025655976,95.67247311827956
2008,4.6000880608083055,0.47333333333333333,12.663333333333332,25.47903140948604,5.047675842354186,55.201056729699665
2009,5.742670250896058,0.02666666666666667,23.90967741935484,45.256441917264915,6.7272908304357495,68.9120430107527
2010,6.467526881720431,0.15483870967741936,18.019354838709678,35.503027334741795,5.958441686778666,77.61032258064517
2011,6.912747055811572,0.864516129032258,19.36,35.813783300988966,5.984461822168219,82.95296466973886
2012,4.310116487455197,0.832258064516129,12.858064516129033,22.151113598962226,4.706496956225748,51.72139784946236
2013,7.605231694828469,0.13548387096774195,25.206666666666667,76.55061435345443,8.749320793836196,91.26278033794163
2014,0.0,0.0,0.0,0.0,0.0,0.0
2015,4.496870199692781,0.028571428571428574,15.976666666666667,21.54638168433362,4.641808018900999,53.96244239631337
2016,3.96644265232975,0.14666666666666667,15.746666666666666,30.261763277853106,5.501069284952981,47.597311827957
2017,4.960394265232975,0.0064516129032258064,14.696666666666665,27.164666389878665,5.211973368109114,59.524731182795705
2018,9.335570916538659,0.00967741935483871,33.78064516129032,158.87668542531358,12.604629523524823,112.0268509984639
2019,8.056066308243729,0.07419354838709677,33.09032258064516,107.73158236991836,10.379382562075566,96.67279569892474
2020,6.09570788530466,0.9580645161290322,22.516129032258064,59.40178460033915,7.707255322119487,73.14849462365592
